17530,# doc = music.2.txt,,,,,,,,,,,,,,,,
17531,# speaker = Ars,,,,,,,,,,,,,,,,
17532,# sent = 1308,,,,,,,,,,,,,,,,
18022,,,,,,,,,,,,,,,,,
18023,# sent = 1347,,,,,,,,,,,,,,,,
18024,,Эээ,ЭЭЭ,NONLEX,distort,,.   _Эээ_ …  ,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
18025,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18026,,,,,,,,,,,,,,,,,
18027,# sent = 1348,,,,,,,,,,,,,,,,
18028,"<distinct form=""",,,,,,,,,,,,,,,,
18029,<dist>,щас,СЕЙЧАС,,,,,,,,,,,,,,
18030,""">",,,,,,,,,,,,,,,,
18031,,сейчас,СЕЙЧАС,ADV -,,, щас  _сейчас_  … все,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
18032,</distinct>,,,,,,,,,,,,,,,,
18033,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18034,,все,ВСЕ,SPRO - nom pl ,,,сейчас  … _все_ … новые технологии,е,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Е
18035,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18036,,новые,НОВЫЙ,A - nom pl plen - -,,,"… все … _новые_ технологии появились ,",е,ы,в,о,н,,A,НОВЫЙ,A - nom pl plen - -,Й
18037,,технологии,ТЕХНОЛОГИЯ,S f inan nom pl,,,"все … новые _технологии_ появились , появились",и,и,г,о,л,о,S,ТЕХНОЛОГИЯ,S f inan nom pl,Я
18038,,появились,ПОЯВИТЬСЯ,V pf praet pl indic - -,,,"… новые технологии _появились_ , появились новые",ь,с,и,л,и,в,V,ПОЯВИТЬСЯ,V pf praet pl indic - -,Я
18039,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18040,,появились,ПОЯВИТЬСЯ,V pf praet pl indic - -,,,"технологии появились , _появились_ новые подходы к",ь,с,и,л,и,в,V,ПОЯВИТЬСЯ,V pf praet pl indic - -,Я
18041,,новые,НОВЫЙ,A - nom pl plen - -,,,"появились , появились _новые_ подходы к написанию",е,ы,в,о,н,,A,НОВЫЙ,A - nom pl plen - -,Й
18042,,подходы,ПОДХОД,S m inan nom pl,,,", появились новые _подходы_ к написанию музыки",ы,д,о,х,д,о,S,ПОДХОД,S m inan nom pl,Д
18043,,к,К,PR,,,"появились новые подходы _к_ написанию музыки ,",к,,,,,,PR,К,PR,К
18044,,написанию,НАПИСАНИЕ,S n inan dat sg,,,"новые подходы к _написанию_ музыки , но",ю,и,н,а,с,и,S,НАПИСАНИЕ,S n inan dat sg,Е
18045,,музыки,МУЗЫКА,S f inan gen sg,,,"подходы к написанию _музыки_ , но э",и,к,ы,з,у,м,S,МУЗЫКА,S f inan gen sg,А
18046,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18047,,но,НО,CONJ,,,"написанию музыки , _но_ э … нужно",о,н,,,,,CONJ,НО,CONJ,О
18048,,э,Э,INTJ,,,"музыки , но _э_ … нужно иметь",э,,,,,,INTJ,Э,S f inan nonflex -,Э
18049,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18050,,нужно,НУЖНО,PRAEDIC,,,но э … _нужно_ иметь ээ …,о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
18051,,иметь,ИМЕТЬ,V ipf tran ipf inf act,,,э … нужно _иметь_ ээ … желательно,ь,т,е,м,и,,V,ИМЕТЬ,V ipf - - inf - -,Ь
18052,,ээ,ЭЭ,NONLEX,distort,,… нужно иметь _ээ_ … желательно вообще,э,э,,,,,NONLEX,ЭЭ,NONLEX,Э
18053,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18054,,желательно,ЖЕЛАТЕЛЬНО,ADV -,,,иметь ээ … _желательно_ вообще иметь команду,о,н,ь,л,е,т,ADV,ЖЕЛАТЕЛЬНО,ADV -,О
18055,,вообще,ВООБЩЕ,ADV -,,,ээ … желательно _вообще_ иметь команду людей,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
18056,,иметь,ИМЕТЬ,V ipf tran ipf inf act,,,"… желательно вообще _иметь_ команду людей ,",ь,т,е,м,и,,V,ИМЕТЬ,V ipf - - inf - -,Ь
18057,,команду,КОМАНДА,S f inan acc sg,,,"желательно вообще иметь _команду_ людей , которая",у,д,н,а,м,о,S,КОМАНДА,S f inan acc sg,А
18058,,людей,ЧЕЛОВЕК,S m anim gen pl,,,"вообще иметь команду _людей_ , которая бы",й,е,д,ю,л,,S,ЧЕЛОВЕК,S m anim gen pl,К
18059,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18060,,которая,КОТОРЫЙ,APRO - nom sg plen f -,,,"команду людей , _которая_ бы … каждый",я,а,р,о,т,о,APRO,КОТОРЫЙ,A - nom sg plen f -,Й
18061,,бы,БЫ,PART,,,"людей , которая _бы_ … каждый был",ы,б,,,,,PART,БЫ,PART,Ы
18062,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18063,,каждый,КАЖДЫЙ,APRO - nom sg plen m -,,,которая бы … _каждый_ был в своей,й,ы,д,ж,а,к,APRO,КАЖДЫЙ,A - nom sg plen m -,Й
18064,,был,БЫТЬ,V ipf praet sg indic m -,,,бы … каждый _был_ в своей какой-то,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
18065,,в,В,PR,,,… каждый был _в_ своей какой-то сфере,в,,,,,,PR,В,PR,В
18066,,своей,СВОЙ,APRO - loc sg plen f -,,,каждый был в _своей_ какой-то сфере продвинутый,й,е,о,в,с,,APRO,СВОЙ,A - loc sg plen f -,Й
18067,,какой-то,КАКОЙ-ТО,APRO - loc sg plen f -,,,был в своей _какой-то_ сфере продвинутый .,о,т,-,й,о,к,APRO,КАКОЙ-ТО,A - loc sg plen f -,О
18068,,сфере,СФЕРА,S f inan loc sg,,,в своей какой-то _сфере_ продвинутый . ,е,р,е,ф,с,,S,СФЕРА,S f inan loc sg,А
18069,,продвинутый,ПРОДВИНУТЫЙ,A - acc sg plen m inan,,,своей какой-то сфере _продвинутый_ .  ,й,ы,т,у,н,и,A,ПРОДВИНУТЫЙ,A - acc sg plen m inan,Й
18070,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18071,,,,,,,,,,,,,,,,,
18072,# sent = 1349,,,,,,,,,,,,,,,,
18073,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
18074,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18075,,,,,,,,,,,,,,,,,
18076,# sent = 1350,,,,,,,,,,,,,,,,
18077,,Чтобы,ЧТОБЫ,CONJ,,,.   _Чтобы_ писать действительно что-то,ы,б,о,т,ч,,CONJ,ЧТОБЫ,CONJ,Ы
18078,,писать,ПИСАТЬ,V ipf - - inf - -,,,  Чтобы _писать_ действительно что-то новое,ь,т,а,с,и,п,V,ПИСАТЬ,V ipf - - inf - -,Ь
18079,,действительно,ДЕЙСТВИТЕЛЬНО,ADV,,, Чтобы писать _действительно_ что-то новое .,о,н,ь,л,е,т,ADV,ДЕЙСТВИТЕЛЬНО,ADV -,О
18080,,что-то,ЧТО-ТО,SPRO n inan nom sg,,,Чтобы писать действительно _что-то_ новое . ,о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - nom sg,О
18081,,новое,НОВЫЙ,A - nom sg plen n -,,,писать действительно что-то _новое_ .  ,е,о,в,о,н,,A,НОВЫЙ,A - nom sg plen n -,Й
18082,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18083,,,,,,,,,,,,,,,,,
18084,# sent = 1351,,,,,,,,,,,,,,,,
18085,,И,И,CONJ,,,.   _И_ нужно очень широкий,и,,,,,,CONJ,И,CONJ,И
18086,,нужно,НУЖНО,PRAEDIC,,,  И _нужно_ очень широкий ум,о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
18087,,очень,ОЧЕНЬ,ADV -,,, И нужно _очень_ широкий ум иметь,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18088,,широкий,ШИРОКИЙ,A - nom sg plen m -,,,"И нужно очень _широкий_ ум иметь ,",й,и,к,о,р,и,A,ШИРОКИЙ,A - nom sg plen m -,Й
18089,,ум,УМ,S m inan nom sg,,,"нужно очень широкий _ум_ иметь , который",м,у,,,,,S,УМ,S m inan nom sg,М
18090,,иметь,ИМЕТЬ,V ipf tran ipf inf act,,,"очень широкий ум _иметь_ , который ну",ь,т,е,м,и,,V,ИМЕТЬ,V ipf - - inf - -,Ь
18091,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18092,,который,КОТОРЫЙ,APRO - nom sg plen m -,,,"ум иметь , _который_ ну не ум",й,ы,р,о,т,о,APRO,КОТОРЫЙ,A - nom sg plen m -,Й
18093,,ну,НУ,PART,,,"иметь , который _ну_ не ум ,",у,н,,,,,PART,НУ,PART,У
18094,,не,НЕ,PART,,,", который ну _не_ ум , ну",е,н,,,,,PART,НЕ,PART,Е
18095,,ум,УМ,S m inan nom sg,,,"который ну не _ум_ , ну широкие",м,у,,,,,S,УМ,S m inan nom sg,М
18096,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18097,,ну,НУ,PART,,,"не ум , _ну_ широкие познания вообще",у,н,,,,,PART,НУ,PART,У
18098,,широкие,ШИРОКИЙ,A - nom pl plen - -,,,"ум , ну _широкие_ познания вообще в",е,и,к,о,р,и,A,ШИРОКИЙ,A - nom pl plen - -,Й
18099,,познания,ПОЗНАНИЕ,S n inan nom pl,,,", ну широкие _познания_ вообще в музыке",я,и,н,а,н,з,S,ПОЗНАНИЕ,S n inan nom pl,Е
18100,,вообще,ВООБЩЕ,ADV -,,,"ну широкие познания _вообще_ в музыке ,",е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
18101,,в,В,PR,,,"широкие познания вообще _в_ музыке , не",в,,,,,,PR,В,PR,В
18102,,музыке,МУЗЫКА,S f inan loc sg,,,"познания вообще в _музыке_ , не только",е,к,ы,з,у,м,S,МУЗЫКА,S f inan loc sg,А
18103,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18104,,не,НЕ,PART,,,"в музыке , _не_ только в музыке",е,н,,,,,PART,НЕ,PART,Е
18105,,только,ТОЛЬКО,PART,,,"музыке , не _только_ в музыке .",о,к,ь,л,о,т,PART,ТОЛЬКО,PART,О
18106,,в,В,PR,,,", не только _в_ музыке . ",в,,,,,,PR,В,PR,В
18107,,музыке,МУЗЫКА,S f inan loc sg,,,не только в _музыке_ .  ,е,к,ы,з,у,м,S,МУЗЫКА,S f inan loc sg,А
18108,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18109,,,,,,,,,,,,,,,,,
18110,# sent = 1352,,,,,,,,,,,,,,,,
18111,,Но,НО,CONJ,,,.   _Но_ и вообще нужно,о,н,,,,,CONJ,НО,CONJ,О
18112,,и,И,CONJ,,,  Но _и_ вообще нужно понимать,и,,,,,,CONJ,И,CONJ,И
18113,,вообще,ВООБЩЕ,ADV -,,," Но и _вообще_ нужно понимать ,",е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
18114,,нужно,НУЖНО,PRAEDIC,,,"Но и вообще _нужно_ понимать , что",о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
18115,,понимать,ПОНИМАТЬ,V ipf - - inf - -,,,"и вообще нужно _понимать_ , что людям",ь,т,а,м,и,н,V,ПОНИМАТЬ,V ipf - - inf - -,Ь
18116,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18117,,что,ЧТО,CONJ,,,"нужно понимать , _что_ людям нужно ,",о,т,ч,,,,CONJ,ЧТО,CONJ,О
18118,,людям,ЧЕЛОВЕК,S m anim dat pl,,,"понимать , что _людям_ нужно , маркетинг",м,я,д,ю,л,,S,ЧЕЛОВЕК,S m anim dat pl,К
18119,,нужно,НУЖНО,PRAEDIC,,,", что людям _нужно_ , маркетинг ,",о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
18120,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18121,,маркетинг,МАРКЕТИНГ,S m inan nom sg,,,"людям нужно , _маркетинг_ , там куча",г,н,и,т,е,к,S,МАРКЕТИНГ,S m inan nom sg,Г
18122,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18123,,там,ТАМ,ADV -,,,", маркетинг , _там_ куча - куча",м,а,т,,,,ADV,ТАМ,ADV -,М
18124,,куча,КУЧА,S f inan nom sg,,,"маркетинг , там _куча_ - куча всего",а,ч,у,к,,,S,КУЧА,S f inan nom sg,А
18125,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
18126,,куча,КУЧА,S f inan nom sg,,,там куча - _куча_ всего . ,а,ч,у,к,,,S,КУЧА,S f inan nom sg,А
18127,,всего,ВСЕГО,SPRO - - gen pl,,,куча - куча _всего_ .  ,о,г,е,с,в,,PART,ВСЕГО,PART,О
18128,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18129,,,,,,,,,,,,,,,,,
18130,# sent = 1353,,,,,,,,,,,,,,,,
18131,"<distinct form=""",,,,,,,,,,,,,,,,
18132,<dist>,щас,СЕЙЧАС,,,,,,,,,,,,,,
18133,""">",,,,,,,,,,,,,,,,
18134,,сейчас,СЕЙЧАС,ADV -,,, щас  _сейчас_  э …,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
18135,</distinct>,,,,,,,,,,,,,,,,
18136,,э,Э,INTJ,,, сейчас  _э_ … что-то принципиально,э,,,,,,INTJ,Э,S - - nonflex -,Э
18137,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18138,,что-то,ЧТО-ТО,SPRO n inan nom sg,,, э … _что-то_ принципиально новое написать,о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - nom sg,О
18139,,принципиально,ПРИНЦИПИАЛЬНО,ADV -,,,э … что-то _принципиально_ новое написать одновременно,о,н,ь,л,а,и,ADV,ПРИНЦИПИАЛЬНО,ADV -,О
18140,,новое,НОВЫЙ,A - acc sg plen n inan,,,… что-то принципиально _новое_ написать одновременно легко,е,о,в,о,н,,A,НОВЫЙ,A - acc sg plen n inan,Й
18141,,написать,НАПИСАТЬ,V int pf inf act,,,что-то принципиально новое _написать_ одновременно легко и,ь,т,а,с,и,п,V,НАПИСАТЬ,V pf - - inf - -,Ь
18142,,одновременно,ОДНОВРЕМЕННО,ADV -,,,принципиально новое написать _одновременно_ легко и сложно,о,н,н,е,м,е,ADV,ОДНОВРЕМЕННО,ADV -,О
18143,,легко,ЛЕГКО,PRAEDIC,,,новое написать одновременно _легко_ и сложно .,о,к,г,е,л,,PRAEDIC,ЛЕГКО,ADV -,О
18144,,и,И,CONJ,,,написать одновременно легко _и_ сложно . ,и,,,,,,CONJ,И,CONJ,И
18145,,сложно,СЛОЖНО,ADV -,,,одновременно легко и _сложно_ .  ,о,н,ж,о,л,с,ADV,СЛОЖНО,ADV -,О
18146,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18147,,,,,,,,,,,,,,,,,
18148,# sent = 1354,,,,,,,,,,,,,,,,
18149,,Легко,ЛЕГКО,PRAEDIC,,,.   _Легко_ - потому что куча,о,к,г,е,л,,PRAEDIC,ЛЕГКО,ADV -,О
18150,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
18151,,потому что,потому что,CONJ,,," Легко - _потому что_ куча средств ,",о,т,ч, ,у,м,CONJ,потому что,CONJ,о
18152,,куча,КУЧА,S f inan nom sg,,,"Легко - потому что _куча_ средств , но",а,ч,у,к,,,S,КУЧА,S f inan nom sg,А
18153,,средств,СРЕДСТВО,S n inan gen pl,,,"- потому что куча _средств_ , но сложно",в,т,с,д,е,р,S,СРЕДСТВО,S n inan gen pl,О
18154,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18155,,но,НО,CONJ,,,"куча средств , _но_ сложно - потому что",о,н,,,,,CONJ,НО,CONJ,О
18156,,сложно,СЛОЖНО,ADV -,,,"средств , но _сложно_ - потому что ээ",о,н,ж,о,л,с,ADV,СЛОЖНО,ADV -,О
18157,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
18158,,потому что,потому что,CONJ,,,но сложно - _потому что_ ээ … очень,о,т,ч, ,у,м,CONJ,потому что,CONJ,о
18159,,ээ,ЭЭ,NONLEX,distort,,сложно - потому что _ээ_ … очень много,э,э,,,,,NONLEX,ЭЭ,NONLEX,Э
18160,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18161,,очень,ОЧЕНЬ,ADV -,,,потому что ээ … _очень_ много нужно всего,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18162,,много,МНОГО,ADV -,,,ээ … очень _много_ нужно всего учитывать,о,г,о,н,м,,ADV,МНОГО,ADV -,О
18163,,нужно,НУЖНО,PRAEDIC,,,"… очень много _нужно_ всего учитывать ,",о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
18164,,всего,ВСЕГО,SPRO - - gen pl,,,"очень много нужно _всего_ учитывать , очень",о,г,е,с,в,,PART,ВСЕГО,PART,О
18165,,учитывать,УЧИТЫВАТЬ,V tran ipf ing act,,,"много нужно всего _учитывать_ , очень много",ь,т,а,в,ы,т,V,УЧИТЫВАТЬ,V ipf - - inf - -,Ь
18166,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18167,,очень,ОЧЕНЬ,ADV -,,,"всего учитывать , _очень_ много факторов .",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18168,,много,МНОГО,ADV -,,,"учитывать , очень _много_ факторов . ",о,г,о,н,м,,ADV,МНОГО,ADV -,О
18169,,факторов,ФАКТОР,S m inan gen pl,,,", очень много _факторов_ .  ",в,о,р,о,т,к,S,ФАКТОР,S m inan gen pl,Р
18170,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18171,,,,,,,,,,,,,,,,,
18172,# sent = 1355,,,,,,,,,,,,,,,,
18173,,Поэтому,ПОЭТОМУ,ADV -,,,.   _Поэтому_ музыка в данный,у,м,о,т,э,о,ADV,ПОЭТОМУ,ADV -,У
18174,,музыка,МУЗЫКА,S f inan nom sg,,,  Поэтому _музыка_ в данный момент,а,к,ы,з,у,м,S,МУЗЫКА,S f inan nom sg,А
18175,,в,В,PR,,," Поэтому музыка _в_ данный момент ,",в,,,,,,PR,В,PR,В
18176,,данный,ДАННЫЙ,A - acc sg plen m inan,,,"Поэтому музыка в _данный_ момент , можно",й,ы,н,н,а,д,A,ДАННЫЙ,A - acc sg plen m inan,Й
18177,,момент,МОМЕНТ,S m inan acc sg,,,"музыка в данный _момент_ , можно сказать",т,н,е,м,о,м,S,МОМЕНТ,S m inan acc sg,Т
18178,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18179,,можно,МОЖНО,PRAEDIC,,,"данный момент , _можно_ сказать , что",о,н,ж,о,м,,PRAEDIC,МОЖНО,PRAEDIC,О
18180,,сказать,СКАЗАТЬ,V tran pf inf act,,,"момент , можно _сказать_ , что она",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
18181,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18182,,что,ЧТО,CONJ,,,"можно сказать , _что_ она в принципе",о,т,ч,,,,CONJ,ЧТО,CONJ,О
18183,,она,ОНА,SPRO sg 3p f nom,,,"сказать , что _она_ в принципе остановилась",а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
18184,,в,В,PR,,,", что она _в_ принципе остановилась .",в,,,,,,PR,В,PR,В
18185,,принципе,ПРИНЦИП,S m inan loc sg,,,что она в _принципе_ остановилась . ,е,п,и,ц,н,и,S,ПРИНЦИП,S m inan loc sg,П
18186,,остановилась,ОСТАНОВИТЬСЯ,V pf praet sg indic f -,,,она в принципе _остановилась_ .  ,ь,с,а,л,и,в,V,ОСТАНОВИТЬСЯ,V pf praet sg indic f -,Я
18187,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18188,,,,,,,,,,,,,,,,,
18189,# sent = 1356,,,,,,,,,,,,,,,,
18190,,Ничего,НИЧЕГО,ADV -,,,.   _Ничего_ принци … она,о,г,е,ч,и,н,ADV,НИЧЕГО,ADV -,О
18191,,принци,ПРИНЦИ,NONLEX,distort,,  Ничего _принци_ … она очень,и,ц,н,и,р,п,NONLEX,ПРИНЦИ,S - anim nonflex -,И
18192,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18193,,она,ОНА,SPRO sg 3p f nom,,,Ничего принци … _она_ очень медленно развивается,а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
18194,,очень,ОЧЕНЬ,ADV -,,,принци … она _очень_ медленно развивается .,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18195,,медленно,МЕДЛЕННО,ADV -,,,… она очень _медленно_ развивается . ,о,н,н,е,л,д,ADV,МЕДЛЕННО,ADV -,О
18196,,развивается,РАЗВИВАТЬСЯ,V ipf praes sg indic - 3p,,,она очень медленно _развивается_ .  ,я,с,т,е,а,в,V,РАЗВИВАТЬСЯ,V ipf praes sg indic - 3p,Я
18197,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18198,,,,,,,,,,,,,,,,,
18199,# sent = 1357,,,,,,,,,,,,,,,,
18200,"<distinct form=""",,,,,,,,,,,,,,,,
18201,<dist>,ничо,,,,,,,,,,,,,,,
18202,""">",,,,,,,,,,,,,,,,
18203,,ничего,НИЧЕГО,ADV -,,, ничо  _ничего_  принципиально нового,о,г,е,ч,и,н,ADV,НИЧЕГО,ADV -,О
18204,</distinct>,,,,,,,,,,,,,,,,
18205,,принципиально,ПРИНЦИПИАЛЬНО,ADV -,,, ничего  _принципиально_ нового : как,о,н,ь,л,а,и,ADV,ПРИНЦИПИАЛЬНО,ADV -,О
18206,,нового,НОВЫЙ,A - gen sg plen m anim,,,ничего  принципиально _нового_ : как раньше,о,г,о,в,о,н,A,НОВЫЙ,A - gen sg plen m -,Й
18207,,:,:,PUNCT,,,,,,,,,,PUNCT,,,
18208,,как,КАК,CONJ,,,принципиально нового : _как_ раньше - классицизм,к,а,к,,,,CONJ,КАК,CONJ,К
18209,,раньше,РАНО,ADV comp,,,нового : как _раньше_ - классицизм -,е,ш,ь,н,а,р,ADV,РАНО,ADV comp,О
18210,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
18211,,классицизм,КЛАССИЦИЗМ,S m inan nom sg,,,"как раньше - _классицизм_ - классицизм ,",м,з,и,ц,и,с,S,КЛАССИЦИЗМ,S m inan nom sg,М
18212,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
18213,,классицизм,КЛАССИЦИЗМ,S m inan nom sg,,,"- классицизм - _классицизм_ , потом романтизм",м,з,и,ц,и,с,S,КЛАССИЦИЗМ,S m inan nom sg,М
18214,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18215,,потом,ПОТОМ,ADV -,,,"- классицизм , _потом_ романтизм появился ,",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
18216,,романтизм,РОМАНТИЗМ,S m inan nom sg,,,"классицизм , потом _романтизм_ появился , романтизм",м,з,и,т,н,а,S,РОМАНТИЗМ,S m inan nom sg,М
18217,,появился,ПОЯВИТЬСЯ,V pf praet sg indic m -,,,", потом романтизм _появился_ , романтизм был",я,с,л,и,в,я,V,ПОЯВИТЬСЯ,V pf praet sg indic m -,Я
18218,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18219,,романтизм,РОМАНТИЗМ,S m inan nom sg,,,"романтизм появился , _романтизм_ был , потом",м,з,и,т,н,а,S,РОМАНТИЗМ,S m inan nom sg,М
18220,,был,БЫТЬ,V ipf praet sg indic m -,,,"появился , романтизм _был_ , потом модерн",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
18221,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18222,,потом,ПОТОМ,ADV -,,,"романтизм был , _потом_ модерн появился ,",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
18223,,модерн,МОДЕРН,S m inan nom sg,,,"был , потом _модерн_ появился , постмодерн",н,р,е,д,о,м,S,МОДЕРН,S m inan nom sg,Н
18224,,появился,ПОЯВИТЬСЯ,V pf praet sg indic m -,,,", потом модерн _появился_ , постмодерн появился",я,с,л,и,в,я,V,ПОЯВИТЬСЯ,V pf praet sg indic m -,Я
18225,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18226,,постмодерн,ПОСТМОДЕРН,S m inan nom sg,,,"модерн появился , _постмодерн_ появился , Шнидкий",н,р,е,д,о,м,S,ПОСТМОДЕРН,S m inan nom sg,Н
18227,,появился,ПОЯВИТЬСЯ,V pf praet sg indic m -,,,"появился , постмодерн _появился_ , Шнидкий и",я,с,л,и,в,я,V,ПОЯВИТЬСЯ,V pf praet sg indic m -,Я
18228,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18229,,Шнидкий,ШНИДКИЙ,S anim m nom sg famn,,,"постмодерн появился , _Шнидкий_ и прочие товарищи",й,и,к,д,и,н,S,ШНИДКИЙ,A - acc sg plen m inan,Й
18230,,и,И,CONJ,,,"появился , Шнидкий _и_ прочие товарищи .",и,,,,,,CONJ,И,CONJ,И
18231,,прочие,ПРОЧИЙ,A - nom pl plen - -,,,", Шнидкий и _прочие_ товарищи . ",е,и,ч,о,р,п,A,ПРОЧИЙ,A - nom pl plen - -,Й
18232,,товарищи,ТОВАРИЩ,S m anim nom pl,,,Шнидкий и прочие _товарищи_ .  ,и,щ,и,р,а,в,S,ТОВАРИЩ,S m anim nom pl,Щ
18233,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18234,,,,,,,,,,,,,,,,,
18235,# sent = 1358,,,,,,,,,,,,,,,,
18236,"<distinct form=""",,,,,,,,,,,,,,,,
18237,<dist>,щас,СЕЙЧАС,,,,,,,,,,,,,,
18238,""">",,,,,,,,,,,,,,,,
18239,,сейчас,СЕЙЧАС,ADV -,,, щас  _сейчас_  такого нет,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
18240,</distinct>,,,,,,,,,,,,,,,,
18241,,такого,ТАКОЙ,APRO - gen sg plen m -,,, сейчас  _такого_ нет . ,о,г,о,к,а,т,APRO,ТАКОЙ,A - gen sg plen m -,Й
18242,,нет,НЕТ,PART,,,сейчас  такого _нет_ .  ,т,е,н,,,,PART,НЕТ,PART,Т
18243,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18244,,,,,,,,,,,,,,,,,
18245,# sent = 1359,,,,,,,,,,,,,,,,
18246,"<distinct form=""",,,,,,,,,,,,,,,,
18247,<dist>,щас,СЕЙЧАС,,,,,,,,,,,,,,
18248,""">",,,,,,,,,,,,,,,,
18249,,сейчас,СЕЙЧАС,ADV -,,, щас  _сейчас_  ничто принципиально,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
18250,</distinct>,,,,,,,,,,,,,,,,
18251,,ничто,НИЧТО,SPRO n inan nom sg,,, сейчас  _ничто_ принципиально нового не,о,т,ч,и,н,,SPRO,НИЧТО,S n - nom sg,О
18252,,принципиально,ПРИНЦИПИАЛЬНО,ADV -,,,сейчас  ничто _принципиально_ нового не появляется,о,н,ь,л,а,и,ADV,ПРИНЦИПИАЛЬНО,ADV -,О
18253,,нового,НОВЫЙ,A - acc sg plen m anim,,, ничто принципиально _нового_ не появляется .,о,г,о,в,о,н,A,НОВЫЙ,A - acc sg plen m anim,Й
18254,,не,НЕ,PART,,,ничто принципиально нового _не_ появляется . ,е,н,,,,,PART,НЕ,PART,Е
18255,,появляется,ПОЯВЛЯТЬСЯ,V ipf praes sg indic - 3p,,,принципиально нового не _появляется_ .  ,я,с,т,е,я,л,V,ПОЯВЛЯТЬСЯ,V ipf praes sg indic - 3p,Я
